,Unnamed: 0,prompt,completion
160,160,,Juanes como vas
161,161,,Do.de van juanes donde la aplicación está lenta
162,162,,No contestó juanes dónde van??? juanes finde van donde juanes juanes donde van???? oye
163,163,,No tu necesitas es estudiar taekwondo en el centro de alto rendimiento no por allá no tiene sentido se lógico en lo q estás haciendo
164,164,,Mañana tienes w coger tramnni lenio entonces jodete
165,165,,No te gasto un día mad
166,166,,Zyb 223
167,167,,Imk 136 yaa llegaron??
168,168,,Cuanto hace?
169,169,,Fue rápido???
170,170,,Les fue bien??
171,171,,nan
172,172,,nan
173,173,,nan
174,174,,nan
175,175,,Juanesito que xfavor le marqués a david no tiene minutos ni saldo ni internet llamalo te necesita
176,176,,Ok a que horas vas para la casa??
177,177,,nan
178,178,,Me equivoqué
179,179,,Porq tan tarde ?? vienes sólo con ella o con los papás de laura juanesito
180,180,,Que piensan hacer hijo quienes s van a entrar??
181,181,,Ok
182,182,,No creo que quieres hacer??
183,183,,No hijo
184,184,,Almorzar quienes hijo??
185,185,,Tu y nosotros ?
186,186,,O con la familia de laura??
187,187,,Ah entonces te tengo un delicioso arroz con pollo y laura se queda i se va?? o
188,188,,Donde??
189,189,,Ah te cam a esperar
190,190,,Van a esperar la
191,191,,Y ellos se can a almorzar van
192,192,,Ah ok ahorita les ofrezco jugo
193,193,,Donde están??
194,194,,nan
195,195,,Ok
196,196,,Van a entrar el carro? dime
197,197,,Señor
198,198,,Ok laura se queda??
199,199,,Y ellos la dejan ??
200,200,,Que pasó????
201,201,,Entonces
202,202,,Ok
203,203,,Demasiado
204,204,,Si claro
205,205,,Mantente solo
206,206,,Y ya serás grande rjp242 juanesito cual de estos creo q no hay del q te gusta
207,207,,nan
208,208,,Ya 
209,209,,Yo te los llevo
210,210,,nan
211,211,,Ya te digo donde viene
212,212,,nan
213,213,,Esta a 4 minutos hijo
214,214,,Ya c a voltear
215,215,,Mkv 604 ya voltio por la esquina del tiempo est llegando confírmame 604
216,216,,Dime todo bien.??
217,217,,Juanesito me llamas cuando te vayas a venir para ver cuánto cuesta un uberpool ok
218,218,,Juanesito ya??? juanesito oye contesta
219,219,,Señor juan donde estas??
220,220,,A que horas vas a salir???
221,221,,Porque?? ok
222,222,,Pero no demores mucho
223,223,,Si señor bueno x ahí media hora más ok me avisas
224,224,,Juanesito no creo q este bien q estés allá hadta tan tarde
225,225,,Ok me avisas así quedamos
226,226,,Dime ta???
227,227,,Dame la dirección
228,228,,Dime
229,229,,Ok ok
230,230,,nan
231,231,,Estas pendiente ok por favor
232,232,,Pendiente con el teléfono
233,233,,Sal tya llegó juanesito juanesito bwl 676 ya corre
234,234,,No hijo sólo arroz papas y atun que dices
235,235,,Ok mi amor ya llegó ti maleta y hablé con ti suegra
236,236,,Cyj 264 iwn 216 juanesito donde vas
237,237,,La aplicación de uber esta mal no se ve
238,238,,En compensar
239,239,,Ipsi hijo me avisas cuando llegue
240,240,,nan
241,241,,Que pasó hijo ya llegaste??
242,242,,Porque te ríes ? donde vas ??
243,243,,Súper te cuidas
244,244,,nan
245,245,,Vamos en 8 días por tus zapatos bendiciones cuidate
246,246,,Hijo donde vas??
247,247,,Ok riu 616 riu 316 el último es el correcto
248,248,,Cuidate y muchas bendiciones
249,249,,Que pasó hijo xq esa cara?? dime me preocupa
250,250,,Acuérdate juanes que el temor pone lazo te ata todo va a ir bien
251,251,,Vas a verlo
252,252,,Confía en ti
253,253,,Eres un campeon
254,254,,Cuidate
255,255,,Bye mi vida me cuentas
256,256,,Como fue??? vas a venir a almorzar ?? te felicito hijo
257,257,,Que pasó??
258,258,,Donde estas??? vas a venir a almorzar???
259,259,,Que????
260,260,,A donde??
261,261,,Juanesito
262,262,,Eso no es chistoso
263,263,,Hijo
264,264,,Y conq plata vas a ir a almorzar ??
265,265,,nan
266,266,,Bueno hijo entonces que comas rico no demores mucho
267,267,,Hijo dame la clave del computador para netflix juanesito la clave del computador
268,268,,Cuanto ??
269,269,,Que
270,270,,Si hijo no problema ok ok y s donde van a ir??
271,271,,Ok mi amor ahora hablamos
272,272,,Dbk. 470 ya hijo juanesito este es el traje. muestrale a laura. que opinan ?
273,273,,Hijito no te tocó trammi esta en $21500 demasiado caro ven pronto te espera unaojarra mojarra
274,274,,Rlx714
275,275,,Hijo sal en 5
276,276,,Hijo donde estas?? aque horas llegas??
277,277,,Ya hijo me voy a dormir
278,278,,Por favor pendiente ok
279,279,,Ncl534
280,280,,Antonio spark espera miro mira juanesito a 4 minutos ok juanesito sal ya esta llegando oye contesta juanesito hijo ya
281,281,,565
282,282,,Donde estas señor
283,283,,Ok me avisas
284,284,,Estoy pendiente ok
285,285,,Sal ya esta llegando no vayas a dejar nada juanesito
286,286,,nan
287,287,,A que te fuiste?? a q horas te llamo el uber ??
288,288,,A q horas ok
289,289,,Ya lo lkamo
290,290,,Di algo se queda no cuentes coni ayuda
291,291,,Tu lo solucionado solo es tu responsabilidad uuq 062 pendiente
292,292,,Sal ya llegó es otro carro
293,293,,Ya
294,294,,Te espero juanes pendiente esta llegando ok
295,295,,Ok
296,296,,"Me avisas *muy interesante* principio explica la importancia de limpiar y botar todo aquello que no sirve, lo roto, lo dañado, lo sucio y pintar lo q está sin pintar, y la mala costumbre de acumular cosas viejas, aquí una de explicación del *principio del vacío* ph newton) tiene el hábito de juntar objetos inútiles en este momento, creyendo que un día (no sabe cuando) podrá precisar de ellos. tiene el hábito de juntar dinero sólo para no gastarlo, pues piensa que en el futuro podrá hacer falta. tiene hábito de guardar ropa, zapatos, muebles, utensilios domésticos y otras cosas del hogar que ya no usa hace bastante tiempo... ntro de ud? tiene el hábito de guardar resentimientos, tristezas, miedos, entre otras mas. aga eso* ti-prosperidad. eciso crear un espacio, un vacío, para que las cosas nuevas lleguen a su vida. eciso eliminar lo que es inútil en usted y en su vida, para que la prosperidad venga. fuerza de ese vacío que absorberá y atraerá todo lo que usted desea. ras usted está cargando cosas viejas e inútiles, material o emocionalmente, no habrá espacio abierto para nuevas oportunidades. bienes precisan circular*. e los cajones, los armarios, el cuarto del fondo, el garaje. que usted ya no usa. titud de guardar un montón de cosas inútiles amarra su vida. n los objetos guardados que estancan su vida, sino el significado de la actitud de guardar. cuando se guarda, se considera la posibilidad de falta, de carencia. eer que mañana podrá faltar, y usted no tendrá medios de proveer sus necesidades. sa postura, usted está enviando dos mensajes para su cerebro y para su vida:  1º usted no confía en el mañana. ted cree que lo nuevo y lo mejor no son para usted, ya que se alegra con guardar cosas viejas e inútiles. gase de lo que perdió el color y el brillo y deje entrar lo nuevo en su casa... y dentro de sí mismo. és de leer esto, tampoco lo guarde, mándenlo a otros y q fluya la energía... ¡aprendamos de la naturaleza que todo lo circula! e llama tener mentalidad de abundancia. s un buen día para empezar a limpiar la mente, la casa, el cuerpo,. que dejamos  todo para *después*? ués* lamo. ués* go. ués* go. ués* ambio. os todo para *después*, si el *después* lo mejor. ue no entendemos que... ués* fé se enfría, ués* rioridad cambia, ués* ncanto se pierde, ués* rano se convierte en tarde, ués* ñoranza pasa, ués* cosas cambian, ués* hijos crecen, ués* nte envejece, ués* a es noche, ués* da se acaba. jes nada para *después*, e en la espera del *después*, edes perder los mejores momentos, ejores experiencias, ejores amigos, ayores amores, as las bendiciones que dios tiene para ti. acuérdate que el *después* ser tarde. ía es hoy* mis mejores amigos(as) los bendiga y guarde o estamos en edad de posponer nada* urgente: dile a todos los contactos de tu lista que no acepten un video que se llama el baile de la rita barbera. es un virus que formatea tu movil. ten cuidado es muy peligroso. pasalo a tu lista ya que la gente lo abre pensando que es un chiste. lo están difundiendo hoy en la radio. pásalo  a quienes puedas donde esta el joven más hermoso del planeta??"
297,297,,Solito??
298,298,,Esta haciendo un frío terrible que haz comido?? va a llover hay manzanas y bananos ahora te digo lo del almuerzo vas a salir???
299,299,,nan
300,300,,Como te fue hijo
301,301,,Y q vas a hacer donde estas
302,302,,Juanesito mis respetos
303,303,,Cuando mi amor
304,304,,Si hijo y para donde vas donde estas
305,305,,Listo mi vida sup ten cuidado
306,306,,nan
307,307,,Tienes llaves?? ok
308,308,,Come manzana
309,309,,Ok que cuidate bye
310,310,,Ya lo voy a llamar ok por favor pendiente ok juanes??? ok??? oye contesta contesta
311,311,,nan
312,312,,Juanesito pendiente ya veo donde esta
313,313,,Hijos vamos a tener carro en arriendo carro nuevo por un año mientras compramos estoy feliz pedí un spark con aire
314,314,,nan
315,315,,Ok mi vida para mañana???
316,316,,Ok hijo
317,317,,387
318,318,,nan
319,319,,Buenos amor cuidate
320,320,,Nos estás llamando para lo que necesites ok
321,321,,nan
322,322,,Si te me cuidas mi juanes hijo donde can??? van??
323,323,,nan
324,324,,Ok
325,325,,nan
326,326,,nan
327,327,,Juanes juanes
328,328,,Juanes a esta hora es inadmisible q estés donde esa niña la próxima vez te vienes como sea
329,329,,Están bonitos cómpralos
330,330,,Dime
331,331,,Como qué??
332,332,,Juanes cita otorrino viernes 16 a las 2:40pm para hacerte el exámen ok
333,333,,Hijo hay una a las 12 y el almuerzo??
334,334,,Ok voy a llamar
335,335,,Listo yo llamo y te cuento guarda el celular
336,336,,Juanes martes 20 de diciembre 10 am ok como te fue??
337,337,,No te me pierdas ok ya almorzaste??
338,338,,Ok mi am
339,339,,Dad 797 juanes tienes q estar pendiente no te descuides yo te aviso
340,340,,Juanes brr341
341,341,,Pendiente 7 minutos ok
342,342,,Que tienes xq hablas asi
343,343,,nan
344,344,,nan
345,345,,Es muy tarde juanes porque estás tan demorado???
346,346,,Juanes.....mmmm ya hijo
347,347,,nan
348,348,,Si señor x favor ya está a 6 minutos juanes ya está llegando sal juan
349,349,,Juan llegó ok
350,350,,nan
351,351,,nan
352,352,,Llámame muñeco
353,353,,504 torre2 para que hijo
354,354,,Ok mi vida
355,355,,Ya voy llegando al apto ya te avisoa darme la dirección juan la dirección envía.ema
356,356,,Ok
357,357,,Hola ya lo voy a llamar
358,358,,Dame un minuto
359,359,,Te aviso ok juanes juan
360,360,,Ok
361,361,,De acuerdo hijo oye te vamos a recoger en el carro nuevo para ir a gran estación con tu tía y sofía ok vas??
362,362,,Espera
363,363,,Hijo reiniciarlo quítale la batería a mí y a david ya nos sirvió
364,364,,Ándale ok
365,365,,Ven las fotos juanes donde estas avísame para llamarte un uber ok
366,366,,Te lo pido ya?? juanes???
367,367,,Avísame ok
368,368,,Ok pendiente mcqueen 800 ya en 4 minutos
369,369,,Ok juan está a dos minutos saludos ya sal ya juan juan llegó
370,370,,Hola hijo que pasó hijo
371,371,,Hijo donde estas cuenta
372,372,,Excelente hijo ok
373,373,,Cuídate x favor me cuentas juanesito haz llamado a tu papá?? donde vienes??
374,374,,Listo hijo
375,375,,Si amor ya le digo a tu pspi
376,376,,Ahora te ayudo ok
377,377,,Juanesito donde estas?? para q vayas a almorzar con david
378,378,,Que necesitas exactamente que pregunto??? prepara las preguntas
379,379,,De una para ver a quien le pregunto oj ok espero
380,380,,No más??? ok ve almorzar
381,381,,Ok
382,382,,Ahora te cuento ok hijo dnk146 listo
383,383,,Juanesito ya??
384,384,,Pendiente
385,385,,Ni idea no dice
386,386,,Cuídate sinvergüenza
387,387,,La de la 45 sobre la 30
388,388,,Carrera 45#26-85
389,389,,Si mi smiga mi amiga me pidió el uber
390,390,,X q a mi no me deja carrera 45#26-85
391,391,,Listo mi smor
392,392,,Bendiciones vuela te deje almuerzo
393,393,,Hijo
394,394,,Hola
395,395,,Que pasó
396,396,,Ya almorzaste
397,397,,Espera intento
398,398,,No
399,399,,Lo lamento no coge la dirección de partida la cambia inmediatamente
400,400,,Tengo que cambiar la ubicación
401,401,,Cualquier a la cambia
402,402,,Juanesito espera q llegue a santa
403,403,,Ya estoy x llegar para q laura me ayude ok dame unos minutos
404,404,,Listo mi amor en unos 15 juanesito hola es pool hvv 510
405,405,,Está a 4 minutos 3 es pool estás listo??? hojo hijo
406,406,,"Ya te digo vez a 1, minuto hijo llegó oye juan juan"
407,407,,Ya lo cogiste???
408,408,,nan
409,409,,Listo me cuentas
410,410,,Cuidate
411,411,,nan
412,412,,nan
413,413,,Si amor
414,414,,nan
415,415,,Juanes no hay alternativas juanes
416,416,,7:00 pm
417,417,,nan
418,418,,Baja ya
419,419,,Juan ya hao 110 está llegando
420,420,,Corre está a un minuto yo a nombre mío
421,421,,Está llegando la placa 110 confirmame
422,422,,Dile q suba x la 53
423,423,,Para q te deje al frente pk me cuentas
424,424,,Bendiciones hijo
425,425,,nan
426,426,,nan
427,427,,Dame la dirección juan juanesito la dirección
428,428,,Estás pendiente ok
429,429,,Ya va en camino pendiente juan ya ok juan
430,430,,A qué horas espera a ver cómo consigo eso
431,431,,Dios déjame ver q podemos hacer
432,432,,Ok
433,433,,Voy a ir a buscarlo
434,434,,nan
435,435,,Hijo ahora q salga de una reunión busco a sandrita y le digo q si la puedes llamar más tarde ok
436,436,,Sandrita buenas tardes. te pido mil disculpas x estar molestándote. es que juanes necesita hablar nuevamente contigo para hacerte unas preguntas de selección para un taller. podría llamarte esta noche a la hora q tú puedas. me dice que no te demora nada hola merceditas tranquila q me llame a las 7:30 sandrita mil gracias juan juanes
437,437,,nan
438,438,,Ya vamos para el apto
439,439,,Dime
440,440,,Por un dia ???
441,441,,Juan podrías hacer la miquy la liquidación
442,442,,nan
443,443,,Mensual??
444,444,,Terrible
445,445,,Ok
446,446,,4 días al mes cada uno de 8 horas
447,447,,Pero hoy x ejemplo no vino
448,448,,Ok esto mi amor donde estas?? el almuerzo ??
449,449,,Que como se te ocurre
450,450,,Como la vez hijo le pedí a tu tío q me enviara un muñeco
451,451,,Hablamos q creerles
452,452,,Tranquilo mi amor eso siempre pasa vuela para ti clase
453,453,,Es gente donde andas
454,454,,Contestarles y dale gracias
455,455,,Ok
456,456,,Cual
457,457,,Ok almuerza bien hijo
458,458,,Las funciones???
459,459,,Si creo espera reviso y te mando
460,460,,O sino tendrías q llamar a sandrita voy a revisar ok
461,461,,Juanesito está diluviando tenemos q esperar q baje un poco ok no te vayas a salir a asi estoy saliendo de gm voy para santa a recoger comida y salgo x ti ok yo te aviso voy ya a manejar
462,462,,En santa
463,463,,Y tú ya saliste??
464,464,,Ya voy a recoger te esperme ok
465,465,,Nos vemos en el callejón ok si o no??
466,466,,Acabé de llegar a recoger la comida ya voy te aviso ok
467,467,,"45 esperando a ti padre voy a llamarlo edpera nunca se aparten de ti la misericordia y la verdad; atalas a tu cuello, escríbelas en la tabla de tu corazón; y hallarás gracia y buena opinión ante los ojos de dios y de los hombres. rbios 3:3-4"
468,468,,Y vendí todo
469,469,,A 7000 le encantaron y los dulces delicioso s
470,470,,Donde estas
471,471,,Vas a ir a vas a ir a almuerzo en la casa??
472,472,,Me llamas ok
473,473,,Luto hijo hay salchichas garbanzos arroz yuca frita
474,474,,Cebolla y jugo
475,475,,nan
476,476,,Cuidate
477,477,,nan
478,478,,Ya vas en el carro??
479,479,,Tiempo estimado de llegada 6:15 perfecto cuidate muy barato bien pensado
480,480,,nan
481,481,,Será que los podemos seguir molestando?? que los suegros te lleven a cafam??
482,482,,Que importa hijo don los suegros o no??
483,483,,Hijo no se te olvide el peto ok
484,484,,U fresco estás en familia
485,485,,Juanes apenas se están levantando??? me ayudas con este tema juanesito xfa
486,486,,Ok
487,487,,Hola mi juanes bueno
488,488,,Ok me avisas
489,489,,nan
490,490,,Dime ok espera
491,491,,Espera
492,492,,Hijo la dirección está bien???
493,493,,Ok
494,494,,Ok
495,495,,Hss 873
496,496,,Está a 5 minutos
497,497,,Es pool no te espera espera miro
498,498,,Mi vida a 3 min ya esta llegando
499,499,,nan
500,500,,Ok juan
501,501,,Ya juan es??
502,502,,nan
503,503,,Ok te espero muñeco
504,504,,Ok
505,505,,Sapin
506,506,,868. clave 31 y no te estreses x lo q cobre q la plata se recupera
507,507,,Vete juanes espera q llegue voy a llamar a averiguar dónde viene ok
508,508,,Me avisas cuando llegue ok xq
509,509,,Pero te vas ok la otra semana ya tenemos carro ya llegó??
510,510,,nan
511,511,,No juanes
512,512,,X q todos madrugamis pero llegas
513,513,,Llegas a las 7y15 esperalo
514,514,,Pero q hacemos si también se demora
515,515,,Han pasado vacíos???
516,516,,Y no quisieron bajar
517,517,,Ok
518,518,,Ustedes son demasiado tercos hubiera s bajados
519,519,,Ok sube
520,520,,Ok
521,521,,nan
522,522,,Juanes mira la hora
523,523,,nan
524,524,,Cuando te mantengas querido
525,525,,Si como no
526,526,,En q te vas a venir
527,527,,Si como no
528,528,,Juan es
529,529,,Rápido jóven
530,530,,Yo estoy hablando en serio
531,531,,Te lo pido ya ??
532,532,,Me avisas ok
533,533,,Te perdono
534,534,,nan
535,535,,Fgx502
536,536,,Está a 4 minutos
537,537,,Juanes lo cancelo
538,538,,Espera nuevamente ijv874 a 6 min
539,539,,Pendiente ok
540,540,,Ok hijo ya estás ahí está llegando juanesito hola dmz 026 juanes llama y pide tu cita no me pude comunicar contigo para preguntarte cuando te servia llama tu ok
541,541,,Heq 208
542,542,,nan
543,543,,Hijo en la iglesia vas a venir
544,544,,Donde estas??
545,545,,Aquí éstoy con david
546,546,,Ven
547,547,,nan
548,548,,Vete para la casa
549,549,,Tiene 10 meses y está esterilizado vacunado y desparasitado
550,550,,Calle 75a#66-51 en qué se fueron hijo??
551,551,,Hijo y todo bien??
552,552,,Ok mi vida cuídate come onces juanesito son las 10 am divino estas contento??? como te sientes?? lindo y el almuerzo??? mami estoy re feliz mami no te puedo escribir mucho estoy con el padre superior ya ahorita a la 1 voy a comer
553,553,,"Hijos, obedeced en el señor a vuestros padres, porque esto es justo. honra a tu padre y a tu madre, que es el primer mandamiento con promesa; para que te vaya bien, y seas de larga vida sobre la tierra. y vosotros, padres, no provoquéis a ira a vuestros hijos, sino criadlos en disciplina y amonestación del señor. siervos, obedeced a vuestros amos terrenales con temor y temblor, con sencillez de vuestro corazón, como a cristo; no sirviendo al ojo, como los que quieren agradar a los hombres, sino como siervos de cristo, de corazón haciendo la voluntad de dios; sirviendo de buena voluntad, como al señor y no a los hombres, os 6:1-7"
554,554,,Hijo donde estas?? la tiene tu tío germán
555,555,,El la guardo ayer donde estas y havas para santa??
556,556,,Ok vas a almorzar a santa ok
557,557,,Listo mi vida hazte peluauiar
558,558,,Juan es y laura sabe??
559,559,,Juanesito come algo x ahí cuando la chica se vaya almuerzas ok
560,560,,Tu tía te guarda el almuerzo ok hijo que tu tía los invita a almorzar a ti y a tu compañera ya hablaste con ella??
561,561,,Ya vas para allá??
562,562,,Ok mi vida cuídate y fuerza la billetera y el celular en la maleta ok
563,563,,"Tarde y mañana y a mediodía oraré y clamaré,y él oirá mi voz. s 55:17 y en los postreros días, dice dios, derramaré de mi espíritu sobre toda carne, y vuestros hijos y vuestras hijas profetizarán; vuestros jóvenes verán visiones, y vuestros ancianos soñarán sueños; s 2:17 juanesito como te fue?? cuánto costó?? a qué horas vas para la casa???"
564,564,,Carísimo era barato hasta la u abusaron
565,565,,Te fue bien yo sabía ese es mi juanes
566,566,,Vas para el apto sobre la 1. verdad cuídate toma agua y la manzana
567,567,,Amor si necesitas un uber pídelo ok
568,568,,Super hijo cuídate
569,569,,A qué horas es tu clase
570,570,,Y a qué horas regresas ?? ok
571,571,,Hijo cuídate al cruzar calles ok almuerza
572,572,,"Oye, hijo mío, la instrucción de tu padre, y no desprecies la dirección de tu madre; porque adorno de gracia serán a tu cabeza,y collares a tu cuello. rbios 1:8-9 hijo mío, si recibieres mis palabras, y mis mandamientos guardares dentro de ti, haciendo estar atento tu oído a la sabiduría; si inclinares tu corazón a la prudencia, si clamares a la inteligencia, y a la prudencia dieres tu voz; si como a la plata la buscares, y la escudriñares como a tesoros, entonces entenderás el temor de jehová, y hallarás el conocimiento de dios. porque jehová da la sabiduría, y de su boca viene el conocimiento y la inteligencia. rbios 2:1-6"
573,573,,Cuando me la enviaste??
574,574,,No la vida
575,575,,"Es la  comunicación con el resto de personas (compañeros, otros grupos de trabajo, jefes)? tanto poder tiene en la toma de decisiones? ¿quién es el líder en su equipo? lidia con los conflictos que surgen en su equipo? vi"
576,576,,Hijo estoy muy ocupada
577,577,,Mándalas ok
578,578,,Hijo mandalo
579,579,,nan
580,580,,Ok para cuándo es?? juan e para cuándo cuando la necesitas??
581,581,,Ok mañana
582,582,,Juanes sucks juanes sucks jajaja
583,583,,Hojo hijo pregunta te sirve gente de gm brasil?? y &gm chile??? para la encuesta hijo
584,584,,Bolsas?? no te entiendo
585,585,,Listo mi vida
586,586,,Hijo es de gas natural ahora te explico ok
587,587,,nan
588,588,,Que
589,589,,Se fue la luz y averuadte q pasa??
590,590,,Averigua que dicen??
591,591,,Baja y pregunta de una terrible
592,592,,Si
